title,shop_name,source,category_clean,price,price_tier,rating_filled,nb_reviews,composite_score,discount_pct,cluster_kmeans,cluster_dbscan,is_anomaly,pca_x,pca_y
Women's Breezer Insoles - Natural Grey,allbirds,shopify,accessories,7.0,budget,4.4,0,0.952,53.3,3,-1,1,0.8434766587394641,-2.842553916074469
Women's Dasher Insoles - Natural Charcoal,allbirds,shopify,accessories,7.0,budget,4.4,0,0.952,53.3,3,-1,1,0.8434766587394641,-2.842553916074469
American Defender Short Velcro 3.0 (Patriot),born_primitive,shopify,mens shorts,36.0,budget,4.7,0,0.946,40.0,1,-1,1,1.3741212078218226,-1.2070652933573758
American Defender Short Tie 3.0 (Woodland),born_primitive,shopify,mens shorts,36.0,budget,4.7,0,0.946,40.0,1,-1,1,0.882717602313403,-1.1311347401630656
Women's Allday 365 (Ripstop),nobull,shopify,footwear,99.0,premium,4.7,0,0.928,34.0,2,-1,1,2.1636059351764785,-0.812319457928673
Women's Allday Knit,nobull,shopify,footwear,99.0,premium,4.7,0,0.928,34.0,2,-1,1,2.1636059351764785,-0.812319457928673
Women's Outwork,nobull,shopify,footwear,99.0,premium,4.7,0,0.9268,33.6,2,-1,1,2.1634396909535347,-0.8001443507273849
Women's Op Assault Pant (Coyote Brown),born_primitive,shopify,womens tactical bottoms,145.0,premium,4.8,0,0.9258,30.6,2,-1,1,4.1393998596533645,-0.4740299138621029
SET X PARKE HORSESHOE JEANS - RHUBARB,set_active,shopify,outerwear,133.0,premium,4.8,0,0.924,30.0,2,-1,1,1.2560056333427347,0.06185115771257009
Woodsman Stretchy Flannel (Rancho),born_primitive,shopify,unisex top,33.0,budget,4.7,0,0.9236,49.2,1,-1,1,0.9034662778217297,-1.4035408401790965
FLEX Stretchy Mid-Rise Boot Cut Jean (Black),born_primitive,shopify,womens jeans,54.0,mid_range,4.4,0,0.922,40.0,3,-1,1,2.8537477198996863,-2.5340805364457806
Inspire Legging (Gunmetal),born_primitive,shopify,womens leggings,46.8,mid_range,4.4,0,0.922,40.0,3,-1,1,1.735839550101895,-2.325265304241783
Training Pant (Gunmetal),born_primitive,shopify,mens pants,42.0,budget,4.7,0,0.916,30.0,2,-1,1,2.878494640845123,-1.2126103959505812
Men's Journey,nobull,shopify,footwear,119.0,premium,4.7,0,0.8863,20.1,2,-1,1,3.373754687660536,-0.542042754979723
Women's Journey,nobull,shopify,footwear,119.0,premium,4.7,0,0.8863,20.1,2,-1,1,1.9815669649516237,-0.24239246512173596
GOAT Bundle,goat_tape,shopify,unknown,19.99,budget,5.0,0,0.884,28.0,1,-1,1,0.46220547035910725,0.33307219861155823
Women's Tundra Jacket (Black),born_primitive,shopify,womens outdoor tops,92.0,premium,4.8,0,0.884,59.8,1,-1,1,0.6774118587826108,-0.9415166400930206
Women's Tundra Jacket 2.0 (OD Green),born_primitive,shopify,womens outdoor tops,137.0,premium,4.8,0,0.8546,40.2,1,-1,1,0.8255054852308339,-0.09996372005861298
Women's Tundra Jacket Light 2.0 (OD Green),born_primitive,shopify,womens outdoor tops,113.0,premium,4.8,0,0.8546,40.2,1,-1,1,0.7421777020988478,-0.23061580921662997
Men's Barrier Jacket (Wolf Grey),born_primitive,shopify,mens outdoor tops,209.4,premium,4.8,0,0.854,40.0,1,-1,1,1.0767945089008533,0.30025763583538234
Super Stretchy Wholesale,goat_tape,shopify,bulk,112.0,premium,5.0,0,0.85,0.0,2,-1,1,4.152957484454544,0.9836377079821433
Ridgeline Tee 165 (Wolf Grey),born_primitive,shopify,mens base layer tops,48.0,mid_range,4.4,0,0.8432,30.4,3,-1,1,0.8436083194995708,-1.8358793699205909
Limitless Legging (BP Navy),born_primitive,shopify,womens leggings,48.0,mid_range,4.4,0,0.837,20.0,3,-1,1,0.5709843037966775,-1.4910587187508784
247 Arc-2 Trainer - Flat White,represent,shopify,footwear,190.0,premium,4.8,0,0.834,0.0,2,-1,1,3.1986517905047465,0.8986544261321081
