antecedents,consequents,support,confidence,lift,leverage,conviction
"bcp_images, indispo, prix_premium, sans_promo, score_faible",note_haute,0.0988,1.0,1.379,0.0272,inf
"dispo, note_haute, peu_images, sans_promo, score_faible",peu_variants,0.091,1.0,2.4002,0.0531,inf
"dispo, note_haute, peu_images, peu_variants, score_faible",sans_promo,0.091,1.0,1.5553,0.0325,inf
"dispo, note_haute, sans_promo, score_faible","peu_images, peu_variants",0.091,1.0,4.6963,0.0716,inf
"peu_variants, prix_premium, sans_promo, score_bon",dispo,0.0536,1.0,1.3406,0.0136,inf
"dispo, score_faible",peu_variants,0.1044,1.0,2.4002,0.0609,inf
"bcp_images, score_excellent",dispo,0.2152,1.0,1.3406,0.0547,inf
"bcp_images, prix_premium, sans_promo, score_excellent",dispo,0.055,1.0,1.3406,0.014,inf
"bcp_variants, prix_premium, sans_promo, score_excellent",dispo,0.0559,1.0,1.3406,0.0142,inf
"dispo, prix_premium, sans_promo, score_excellent",bcp_variants,0.0559,1.0,1.7142,0.0233,inf
"prix_premium, sans_promo, score_excellent","bcp_variants, dispo",0.0559,1.0,2.463,0.0332,inf
"bcp_images, bcp_variants, prix_premium, score_faible",note_haute,0.085,1.0,1.379,0.0234,inf
"bcp_images, note_haute, prix_premium, score_excellent",bcp_variants,0.0596,1.0,1.7142,0.0248,inf
"bcp_variants, score_faible",indispo,0.1206,1.0,3.9364,0.0899,inf
"bcp_images, bcp_variants, prix_premium, score_excellent",dispo,0.079,1.0,1.3406,0.0201,inf
"bcp_images, prix_premium, sans_promo, score_excellent",bcp_variants,0.055,1.0,1.7142,0.0229,inf
"bcp_images, prix_premium, sans_promo, score_faible",indispo,0.0988,1.0,3.9364,0.0737,inf
"prix_premium, sans_promo, score_excellent",bcp_variants,0.0559,1.0,1.7142,0.0233,inf
"prix_premium, sans_promo, score_excellent",dispo,0.0559,1.0,1.3406,0.0142,inf
"bcp_images, bcp_variants, en_promo, prix_mid, score_excellent",dispo,0.0531,1.0,1.3406,0.0135,inf
"bcp_images, bcp_variants, note_moyenne, prix_mid, score_excellent",dispo,0.0582,1.0,1.3406,0.0148,inf
"bcp_images, dispo, note_moyenne, prix_mid, score_excellent",bcp_variants,0.0582,1.0,1.7142,0.0242,inf
"bcp_images, note_moyenne, prix_mid, score_excellent","bcp_variants, dispo",0.0582,1.0,2.463,0.0346,inf
"bcp_images, bcp_variants, note_haute, prix_premium, score_faible",sans_promo,0.085,1.0,1.5553,0.0303,inf
"bcp_images, peu_variants, prix_premium",note_haute,0.0559,1.0,1.379,0.0154,inf
"peu_variants, prix_premium, score_bon",note_haute,0.0554,1.0,1.379,0.0152,inf
"bcp_images, prix_premium, score_faible",note_haute,0.0993,1.0,1.379,0.0273,inf
"note_haute, prix_premium, score_excellent",bcp_variants,0.0605,1.0,1.7142,0.0252,inf
"bcp_variants, prix_premium, score_faible",note_haute,0.0878,1.0,1.379,0.0241,inf
"bcp_images, indispo, prix_premium",note_haute,0.1155,1.0,1.379,0.0317,inf
"indispo, prix_premium, score_faible",note_haute,0.1201,1.0,1.379,0.033,inf
"dispo, peu_variants, prix_premium",note_haute,0.061,1.0,1.379,0.0168,inf
"note_haute, prix_premium, score_excellent",dispo,0.0605,1.0,1.3406,0.0154,inf
"dispo, prix_budget, score_faible",peu_images,0.0859,1.0,3.7652,0.0631,inf
"prix_budget, score_excellent",dispo,0.1053,1.0,1.3406,0.0268,inf
"bcp_images, bcp_variants, prix_premium, score_faible","note_haute, sans_promo",0.085,1.0,2.0367,0.0433,inf
"bcp_images, bcp_variants, note_haute, prix_premium, score_excellent",dispo,0.0596,1.0,1.3406,0.0151,inf
"bcp_images, dispo, note_haute, prix_premium, score_excellent",bcp_variants,0.0596,1.0,1.7142,0.0248,inf
"bcp_images, note_haute, prix_premium, score_excellent","bcp_variants, dispo",0.0596,1.0,2.463,0.0354,inf
"bcp_images, en_promo, note_moyenne, prix_mid, score_excellent",bcp_variants,0.0517,1.0,1.7142,0.0216,inf
"prix_premium, score_excellent","bcp_variants, dispo",0.0799,1.0,2.463,0.0475,inf
"peu_variants, prix_premium, score_bon",dispo,0.0554,1.0,1.3406,0.0141,inf
"bcp_images, prix_premium, score_excellent",dispo,0.079,1.0,1.3406,0.0201,inf
"dispo, prix_premium, score_excellent",bcp_variants,0.0799,1.0,1.7142,0.0333,inf
"bcp_variants, prix_premium, score_excellent",dispo,0.0799,1.0,1.3406,0.0203,inf
"bcp_variants, prix_premium, score_faible",sans_promo,0.0878,1.0,1.5553,0.0313,inf
"bcp_images, bcp_variants, en_promo, note_moyenne, prix_mid, score_excellent",dispo,0.0517,1.0,1.3406,0.0131,inf
"bcp_images, dispo, en_promo, note_moyenne, prix_mid, score_excellent",bcp_variants,0.0517,1.0,1.7142,0.0216,inf
"dispo, note_haute, score_faible",peu_images,0.091,1.0,3.7652,0.0668,inf
"bcp_images, en_promo, note_moyenne, prix_mid, score_excellent",dispo,0.0517,1.0,1.3406,0.0131,inf
