title,shop_name,source,category_clean,price,price_tier,rating_filled,nb_reviews,composite_score,discount_pct,cluster_kmeans,cluster_dbscan,is_anomaly,pca_x,pca_y
Men's Cruiser - Natural Black (Natural Black Sole),allbirds,shopify,shoes,52.0,mid_range,4.4,0,0.952,50.5,3,0,0,1.590207186284713,-2.616966102647995
Men's Runner NZ Corduroy - Dark Tan (Stony Cream Sole),allbirds,shopify,shoes,49.0,mid_range,4.4,0,0.952,59.2,3,0,0,1.3603050856401768,-2.8504435061626743
Women's Tree Breezer Retreat Knit - Sienna Blush,allbirds,shopify,shoes,52.0,mid_range,4.4,0,0.952,50.5,3,0,0,1.3671052466826454,-2.569303413389902
Women's Cruiser - Blizzard/Dark Navy (Blizzard Sole),allbirds,shopify,shoes,52.0,mid_range,4.4,0,0.952,50.5,3,0,0,1.3671052466826454,-2.569303413389902
Women's Cruiser Slip On Tweed - Dark Grey (Stormy Grey Sole),allbirds,shopify,shoes,52.0,mid_range,4.4,0,0.952,50.5,3,0,0,1.3671052466826454,-2.569303413389902
Women's Tree Dasher 2 - Utility - Blizzard/Hazy Pine (Natural White Sole),allbirds,shopify,shoes,72.0,mid_range,4.4,0,0.952,50.3,3,0,0,1.4364619438478285,-2.4543391188242434
Men's Tree Dasher 2 - Utility - Natural Black (Natural Black Sole),allbirds,shopify,shoes,72.0,mid_range,4.4,0,0.952,50.3,3,0,0,1.4364619438478285,-2.4543391188242434
Men's Runner NZ Remix - Natural White (Natural White Sole),allbirds,shopify,shoes,70.0,mid_range,4.4,0,0.952,50.0,3,0,0,1.429393278752955,-2.456095462519779
Women's Cruiser Tweed - Hazy Indigo (Light Grey Sole),allbirds,shopify,shoes,55.0,mid_range,4.4,0,0.952,50.0,3,0,0,1.377313414295464,-2.537753018243539
Women's Runner NZ Remix - Natural White (Natural White Sole),allbirds,shopify,shoes,70.0,mid_range,4.4,0,0.952,50.0,3,0,0,1.429393278752955,-2.456095462519779
Women's Runner NZ Corduroy - Stony Cream (Stony Cream Sole),allbirds,shopify,shoes,49.0,mid_range,4.4,0,0.952,59.2,3,0,0,1.3603050856401768,-2.8504435061626743
Women's Canvas Piper - Blizzard (Bark Brown Sole),allbirds,shopify,shoes,45.0,mid_range,4.4,0,0.952,50.0,3,0,0,1.3425935046571362,-2.592191388726046
Men's Canvas Piper - Blizzard (Bark Brown Sole),allbirds,shopify,shoes,45.0,mid_range,4.4,0,0.952,50.0,3,0,0,1.3425935046571362,-2.592191388726046
Women's Cruiser Slip On Corduroy - Stony Cream (Stony Cream Sole),allbirds,shopify,shoes,42.0,budget,4.4,0,0.952,60.0,3,0,0,1.3363336373392354,-2.9129005799030057
Men's Cruiser Slip On Corduroy - Stony Cream (Stony Cream Sole),allbirds,shopify,shoes,42.0,budget,4.4,0,0.952,60.0,3,0,0,1.3363336373392354,-2.9129005799030057
Women's Wool Runner NZ Fluff - Natural White (Natural White Sole),allbirds,shopify,shoes,39.0,budget,4.4,0,0.952,67.5,1,0,0,1.329034743627935,-3.157515351071913
Women's Cruiser Corduroy - Dark Tan (Stony Cream Sole),allbirds,shopify,shoes,44.0,mid_range,4.4,0,0.952,60.0,3,0,0,1.343277619266901,-2.902012905806504
Men's Wool Cruiser Slip On Fluff - Natural White (Natural White Sole),allbirds,shopify,shoes,39.0,budget,4.4,0,0.952,62.9,3,0,0,1.3271229350640803,-3.0175016182570977
Men's Wool Runner NZ Fluff - Natural White (Natural White Sole),allbirds,shopify,shoes,39.0,budget,4.4,0,0.952,67.5,1,0,0,1.329034743627935,-3.157515351071913
