feature,importance,model
rating_filled,0.5028572413627175,random_forest
popularity_score,0.14011211950577113,random_forest
has_rating,0.06917572934443397,random_forest
catalogue_richness,0.06816283731980592,random_forest
composite_score,0.06328032888332423,random_forest
discount_pct,0.058618959082563524,random_forest
nb_images,0.05057383197912736,random_forest
nb_variants,0.04314876313384116,random_forest
available,0.004070189388415252,random_forest
nb_reviews,0.0,random_forest
rating_filled,0.5995566248893738,xgboost
has_rating,0.16076286137104034,xgboost
popularity_score,0.07437936216592789,xgboost
discount_pct,0.049037788063287735,xgboost
nb_variants,0.04652734473347664,xgboost
composite_score,0.021547965705394745,xgboost
nb_images,0.01922244019806385,xgboost
catalogue_richness,0.018798505887389183,xgboost
available,0.010167131200432777,xgboost
nb_reviews,0.0,xgboost
