rank,title,shop_name,source,category_clean,price,price_tier,discount_pct,rating_filled,has_rating,nb_reviews,nb_variants,available,popularity_score,catalogue_richness,composite_score,product_url
1,Men's Cruiser - Natural Black (Natural Black Sole),allbirds,shopify,shoes,52.0,mid_range,50.5,4.4,1,0,14,True,15.4,0.62,0.9839,https://www.allbirds.com/products/mens-cruiser-natural-black
2,Women's Wool Cruiser Slip On Fluff - Natural White (Natural White Sole),allbirds,shopify,shoes,39.0,budget,62.9,4.4,1,0,13,True,14.3,0.59,0.9834,https://www.allbirds.com/products/womens-wool-cruiser-slip-on-fluff
3,Men's Wool Runner NZ Fluff - Natural White (Natural White Sole),allbirds,shopify,shoes,39.0,budget,67.5,4.4,1,0,13,True,14.3,0.59,0.9834,https://www.allbirds.com/products/mens-wool-runner-nz-fluff
4,Women's Wool Runner NZ Fluff - Natural White (Natural White Sole),allbirds,shopify,shoes,39.0,budget,67.5,4.4,1,0,13,True,14.3,0.59,0.9834,https://www.allbirds.com/products/womens-wool-runner-nz-fluff
5,Men's Wool Cruiser Slip On Fluff - Natural White (Natural White Sole),allbirds,shopify,shoes,39.0,budget,62.9,4.4,1,0,13,True,14.3,0.59,0.9834,https://www.allbirds.com/products/mens-wool-cruiser-slip-on-fluff
6,Women's Cruiser Corduroy - Dark Tan (Stony Cream Sole),allbirds,shopify,shoes,44.0,mid_range,60.0,4.4,1,0,13,True,14.3,0.59,0.9834,https://www.allbirds.com/products/womens-cruiser-corduroy-dark-tan
7,Women's Cruiser Slip On Corduroy - Stony Cream (Stony Cream Sole),allbirds,shopify,shoes,42.0,budget,60.0,4.4,1,0,13,True,14.3,0.59,0.9834,https://www.allbirds.com/products/womens-cruiser-slip-on-corduroy-stony-cream
8,Men's Cruiser Slip On Corduroy - Stony Cream (Stony Cream Sole),allbirds,shopify,shoes,42.0,budget,60.0,4.4,1,0,13,True,14.3,0.59,0.9834,https://www.allbirds.com/products/mens-cruiser-slip-on-corduroy-stony-cream
9,Women's Runner NZ Corduroy - Stony Cream (Stony Cream Sole),allbirds,shopify,shoes,49.0,mid_range,59.2,4.4,1,0,13,True,14.3,0.59,0.9833,https://www.allbirds.com/products/womens-runner-nz-corduroy-stony-cream
10,Men's Canvas Piper - Blizzard (Bark Brown Sole),allbirds,shopify,shoes,45.0,mid_range,50.0,4.4,1,0,13,True,14.3,0.59,0.9833,https://www.allbirds.com/products/mens-canvas-pipers-blizzard-bark-brown
11,American Defender Short Velcro 3.0 (Patriot),born_primitive,shopify,mens shorts,36.0,budget,40.0,4.7,0,0,10,True,11.75,0.7,0.9796,https://bornprimitive.com/products/american-defender-short-velcro-3-0-patriot
12,American Defender Short Tie 3.0 (Woodland),born_primitive,shopify,mens shorts,36.0,budget,40.0,4.7,0,0,10,True,11.75,0.54,0.9764,https://bornprimitive.com/products/american-defender-short-tie-3_0-woodland
13,Women's Op Assault Pant (Coyote Brown),born_primitive,shopify,womens tactical bottoms,145.0,premium,30.6,4.8,0,0,24,True,24.0,1.0,0.9643,https://bornprimitive.com/products/womens-op-assault-pant-coyote-brown
14,Your Staple Tank (Navy),born_primitive,shopify,womens tops,24.75,budget,45.0,4.7,0,0,9,True,10.575,0.35,0.9628,https://bornprimitive.com/products/your-staple-tank-navy
15,Women's Allday 365 (Ripstop),nobull,shopify,footwear,99.0,premium,34.0,4.7,1,0,13,True,15.275,0.75,0.962,https://nobullproject.com/products/womens-pine-allday-365
16,Women's Allday Knit,nobull,shopify,footwear,99.0,premium,34.0,4.7,1,0,13,True,15.275,0.75,0.962,https://nobullproject.com/products/womens-green-heather-allday-knit
17,Women's Outwork,nobull,shopify,footwear,99.0,premium,33.6,4.7,1,0,13,True,15.275,0.75,0.9608,https://nobullproject.com/products/womens-navy-gum-outwork
18,FLEX Stretchy Mid-Rise Boot Cut Jean (Black),born_primitive,shopify,womens jeans,54.0,mid_range,40.0,4.4,0,0,18,True,19.8,0.86,0.9587,https://bornprimitive.com/products/flex-stretchy-mid-rise-boot-cut-jean-black
19,Essential Tee Bundle | Black & White Classic-fit PYCA Pro®,cuts_clothing,shopify,womens tops,62.0,mid_range,40.4,4.4,0,0,36,True,22.0,0.76,0.9578,https://cutsclothing.com/products/essential-tee-kit
20,Classic Tee Bundle | Black & White Classic-fit PYCA Pro®,cuts_clothing,shopify,womens tops,55.0,mid_range,40.2,4.4,0,0,36,True,22.0,0.76,0.9572,https://cutsclothing.com/products/classic-tee-kit
21,Cabin Fleece (Black),born_primitive,shopify,mens tops,23.0,budget,69.3,4.7,0,0,8,True,9.4,0.56,0.957,https://bornprimitive.com/products/fleece-pullover-black
22,Inspire Legging (Gunmetal),born_primitive,shopify,womens leggings,46.8,mid_range,40.0,4.4,0,0,12,True,13.2,0.76,0.9567,https://bornprimitive.com/products/inspire-legging-gun-metal
23,Men's Timber Jacket (Gunmetal),born_primitive,shopify,mens tops,23.0,budget,74.4,4.7,0,0,8,True,9.4,0.52,0.9562,https://bornprimitive.com/products/the-mens-timber-jacket-gunmetal
24,Woodsman Stretchy Flannel (Rancho),born_primitive,shopify,unisex top,33.0,budget,49.2,4.7,0,0,8,True,9.4,0.64,0.9561,https://bornprimitive.com/products/woodsman-stretchy-flannel-rancho
